file,gain_slider,diameter_mm,n,mean,std,skew,kurt,p05,p50,p95
FILE0000,54.0,60.0,48034,46.26453431134975,19.341865739949053,1.282921181451651,5.18550781207971,17.92509469985962,44.73257064819336,76.6720127105713
FILE0001,54.0,60.0,48124,47.08038560460902,19.09189806793917,1.019049411714415,2.898817143389551,19.735291957855225,45.34122657775879,79.54355583190917
FILE0002,54.0,60.0,47980,41.893823949870296,19.55776490653364,2.4830917564957353,16.240236121220946,15.857406759262085,40.15451240539551,70.72018165588376
FILE0003,54.0,60.0,48104,38.923419468001995,18.693021748990628,2.760614863767155,19.640506994964188,15.293385887145996,37.04175567626953,66.30442390441894
FILE0004,54.0,60.0,48188,47.69290879264139,17.95413982694283,0.628111843937695,1.4470809303925236,20.072506809234618,46.84878921508789,78.48291168212891
FILE0005,44.0,60.0,38206,18.534832352637896,6.98861560502972,1.146109524791142,1.0235517417663864,11.063786506652832,16.700289726257324,32.48853302001953
FILE0006,44.0,60.0,39776,19.291173741353298,8.495307527981195,1.9853198129012832,6.975155738515676,11.088030338287354,16.862001419067383,35.13847255706787
FILE0007,44.0,60.0,41413,19.20088482702161,7.996669888262058,1.5798142001336373,3.4533908571697953,11.128568649291992,17.0487060546875,34.76713180541992
FILE0008,44.0,60.0,42300,19.24952682429735,8.99385006190964,2.6909538392902626,13.613032513551907,11.126897811889648,16.680620193481445,35.15367279052733
FILE0009,44.0,60.0,41019,19.302059407637454,8.706376284953537,2.68489315128489,15.187339968616747,11.117521572113038,16.978084564208984,34.57156715393066
FILE0010,64.0,60.0,49733,114.3274325098165,34.55517217513288,0.24752491813394012,-0.3508087319672435,60.42838745117188,112.80389404296875,173.35051879882812
FILE0011,64.0,60.0,48162,116.00718433517073,35.05701066048568,0.14641145229863758,-0.1989978464627975,58.29688339233398,115.76348114013672,172.09956970214844
FILE0012,64.0,60.0,48102,112.84627682459558,35.39388133595095,0.25892868743202935,-0.25588256334796755,57.879238319396975,111.6208267211914,171.4446189880371
FILE0013,54.0,35.0,38020,51.27617531464891,23.31974512482275,2.187833073238918,10.2727649547274,21.677228260040284,48.39975547790527,86.4439712524414
FILE0014,54.0,35.0,38014,49.06938711549618,21.731008894361832,1.4227242394841781,5.111276267423083,19.178368091583252,46.9925594329834,83.96131629943848
FILE0015,54.0,35.0,37990,47.51226336393083,20.21812251300411,1.1279418867766318,2.670055703708882,19.842476654052735,44.84751319885254,83.41927795410155
FILE0016,54.0,40.0,42318,48.69195594678975,20.31104485364578,0.8964242292801189,1.7969488852073674,19.41030969619751,46.919334411621094,84.2958351135254
FILE0017,44.0,40.0,31411,17.445045217250687,7.437136170455063,2.3987825132524017,10.451898353862836,11.003878116607666,14.999999046325684,31.98844623565674
FILE0018,44.0,40.0,32131,17.688647848978558,7.151432656322305,1.7391703583500155,4.090632500429019,11.020876407623291,15.391664505004883,32.223934173583984
